File Number,Date of Report,Crime Date Time,Crime,Reporting Area,Neighborhood,Location
2011-00446,1/20/2011 16:02,1/20/2011 16:00,Trespassing,607,Mid-Cambridge,"400 HARVARD STREET, Cambridge, MA"
2011-00447,1/20/2011 15:08,01/15/2011 12:00 - 01/20/2011 16:30,Missing Person,903,Peabody,"0 BOWDOIN STREET, Cambridge, MA"
2011-00448,1/20/2011 17:33,01/19/2011 18:00 - 01/20/2011 17:33,Larceny from MV,605,Mid-Cambridge,"0 ROBERTS ROAD , Cambridge, MA"
2011-00449,1/20/2011 17:56,01/20/2011 17:52 - 18:53,Hit and Run,1001,West Cambridge,"APPIAN WAY & GARDEN STREET, Cambridge, MA"
2011-00450,1/20/2011 18:57,01/20/2011 07:30 - 18:30,Housebreak,507,Cambridgeport,"100 MAGAZINE STREET, Cambridge, MA"
2011-00451,1/20/2011 19:01,01/20/2011 18:02 - 18:12,Shoplifting,1002,West Cambridge,"1400 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00452,1/20/2011 19:43,01/20/2011 19:30 - 19:35,Violation of R.O.,501,Cambridgeport,"GREEN STREET & MAGAZINE STREET, Cambridge, MA"
2011-00455,1/20/2011 19:22,01/20/2011 19:55 - 20:05,Simple Assault,501,Cambridgeport,"600 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00459,1/20/2011 19:36,01/19/2011 19:00 - 01/20/2011 18:00,Hit and Run,609,Mid-Cambridge,"300 HARVARD STREET, Cambridge, MA"
2011-00462,1/21/2011 1:24,01/21/2011 01:00 - 01:30,Larceny from MV,411,Area 4,"MASSACHUSETTS Avenue & NORFOLK STREET, Cambridge, MA"
2011-00463,1/21/2011 2:25,01/21/2011 02:20 - 02:25,Larceny from Building,1202,Highlands,"100 MOONEY STREET, Cambridge, MA"
2011-00464,1/21/2011 7:30,01/21/2011 00:00 - 03:30,Larceny from MV,305,Inman/Harrington,"0 HARRINGTON TERRACE, Cambridge, MA"
2011-00466,1/21/2011 10:18,1/21/2011 10:18,Forgery,607,Mid-Cambridge,"1100 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00467,1/21/2011 12:37,1/21/2011 12:37,Larceny from Person,411,Area 4,"BISHOP ALLEN DRIVE & COLUMBIA STREET, Cambridge, MA"
2011-00468,1/21/2011 12:33,1/21/2011 12:33,Hit and Run,603,Mid-Cambridge,"0 INMAN PLACE, Cambridge, MA"
2011-00469,1/21/2011 12:46,01/21/2011 12:00 - 12:45,Domestic Dispute,406,Area 4,"100 ELM STREET, Cambridge, MA"
2011-00470,1/21/2011 13:00,01/21/2011 07:00 - 10:00,Mal. Dest. Property,503,Cambridgeport,"200 SIDNEY STREET, Cambridge, MA"
2011-00471,1/21/2011 15:56,01/21/2011 15:56 - 16:22,Indecent Exposure,108,East Cambridge,"100 ROGERS STREET, Cambridge, MA"
2011-00472,1/21/2011 16:19,01/11/2011 12:00 - 01/12/2011 16:22,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-00473,1/21/2011 15:29,01/16/2011 17:48 - 01/17/2011 07:00,Hit and Run,605,Mid-Cambridge,"0 IRVING STREET, Cambridge, MA"
2011-00474,1/21/2011 16:17,01/20/2011 17:22 - 01/21/2011 14:00,Larceny from Residence,606,Mid-Cambridge,"100 DANA STREET, Cambridge, MA"
2011-00475,1/21/2011 16:24,01/20/2011 15:00 - 01/21/2011 14:20,Larceny from Residence,1004,West Cambridge,"0 CONCORD Avenue, Cambridge, MA"
2011-00476,1/21/2011 16:21,01/21/2011 13:30 - 14:30,Simple Assault,105,East Cambridge,"0 FIFTH STREET, Cambridge, MA"
2011-00477,1/21/2011 17:30,01/21/2011 08:35 - 08:40,Hit and Run,403,Area 4,"BROADWAY & PORTLAND STREET, Cambridge, MA"
2011-00478,1/21/2011 17:41,01/21/2011 17:15 - 17:30,Larceny from MV,105,East Cambridge,"CAMBRIDGE STREET & EIGHTH STREET, Cambridge, MA"
2011-00479,1/21/2011 17:15,01/20/2011 22:00 - 23:00,Mal. Dest. Property,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA"
2011-00480,1/21/2011 19:59,01/21/2011 17:30 - 18:30,Violation of R.O.,1101,North Cambridge,"800 SOMERVILLE Avenue, Cambridge, MA"
2011-00481,1/21/2011 20:42,1/21/2011 20:20,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-00482,1/21/2011 19:00,01/21/2011 09:15 - 18:30,Larceny from MV,1106,North Cambridge,"100 RICE STREET, Cambridge, MA"
2011-00483,1/21/2011 23:48,01/21/2011 23:35 - 23:40,Larceny from Person,1002,West Cambridge,"0 ELIOT STREET, Cambridge, MA"
2011-00484,1/22/2011 0:37,1/22/2011 0:37,Simple Assault,501,Cambridgeport,"500 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00485,1/22/2011 2:38,1/22/2011 2:38,OUI,408,Area 4,"200 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00487,1/22/2011 13:01,01/22/2011 13:00 - 13:10,Domestic Dispute,305,Inman/Harrington,"COLUMBIA STREET & HAMPSHIRE STREET, Cambridge, MA"
2011-00488,1/22/2011 14:46,01/20/2011 08:00 - 01/22/2011 14:46,Mal. Dest. Property,503,Cambridgeport,"200 Sidney STREET, Cambridge, MA"
2011-00489,1/22/2011 15:54,01/20/2011 08:00 - 01/22/2011 15:54,Mal. Dest. Property,503,Cambridgeport,"100 HAMILTON STREET, Cambridge, MA"
2011-00493,1/22/2011 19:23,01/18/2011 09:00 - 01/22/2011 19:10,Harassment,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-00494,1/22/2011 20:07,01/22/2011 17:00 - 20:15,Larceny from MV,708,Riverside,"100 RICHDALE Avenue, Cambridge, MA"
2011-00495,1/22/2011 22:19,01/22/2011 13:30 - 21:01,Missing Person,605,Mid-Cambridge,"0 ROBERTS ROAD , Cambridge, MA"
2011-00496,1/23/2011 0:46,01/23/2011 00:55 - 01:21,OUI,302,Inman/Harrington,"400 PROSPECT STREET, Cambridge, MA"
2011-00497,1/23/2011 1:42,1/23/2011 1:42,Aggravated Assault,411,Area 4,"100 BISHOP ALLEN DRIVE, Cambridge, MA"
2011-00498,1/23/2011 2:06,1/23/2011 2:06,Simple Assault,501,Cambridgeport,"500 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00500,1/23/2011 9:31,01/23/2011 00:30 - 09:30,Mal. Dest. Property,304,Inman/Harrington,"BERKSHIRE STREET & MARNEY STREET, Cambridge, MA"
2011-00502,1/23/2011 12:28,1/23/2011 9:30,Hit and Run,610,Mid-Cambridge,"100 AMORY STREET, Cambridge, MA"
2011-00503,1/23/2011 13:35,1/23/2011 13:35,Hit and Run,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-00504,1/23/2011 13:47,01/22/2011 14:33 - 01/23/2011 14:33,Simple Assault,909,Peabody,"0 Mount Pleasant STREET, Cambridge, MA"
2011-00505,1/23/2011 14:17,01/22/2011 18:00 - 01/23/2011 14:15,Auto Theft,1303,Strawberry Hill,"100 LAWN STREET, Cambridge, MA"
2011-00508,1/23/2011 15:23,01/23/2011 15:23 - 15:57,Drinking in Public,501,Cambridgeport,"600 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00509,1/23/2011 16:32,01/20/2011 01:30 - 01/23/2011 15:00,Hit and Run,104,East Cambridge,"0 FIFTH STREET, Cambridge, MA"
2011-00511,1/23/2011 17:08,01/23/2011 12:00 - 17:00,Hit and Run,1101,North Cambridge,"0 WHITE STREET, Cambridge, MA"
2011-00512,1/23/2011 17:40,01/23/2011 17:15 - 17:25,Shoplifting,1002,West Cambridge,"0 BRATTLE STREET, Cambridge, MA"
2011-00514,1/23/2011 20:00,01/16/2011 19:50 - 01/23/2011 20:57,Threats,304,Inman/Harrington,"0 WILLOW STREET, Cambridge, MA"
2011-00515,1/23/2011 21:17,01/21/2011 22:30 - 01/22/2011 02:00,Larceny from Building,708,Riverside,"1200 Massachusetts Avenue, Cambridge, MA"
2011-00516,1/23/2011 20:16,01/23/2011 18:30 - 18:35,Hit and Run,509,Cambridgeport,"200 MAGAZINE STREET, Cambridge, MA"
2011-00517,1/24/2011 2:12,1/24/2011 2:12,Shoplifting,610,Mid-Cambridge,"300 BROADWAY, Cambridge, MA"
2011-00519,1/24/2011 8:08,01/23/2011 08:00 - 01/24/2011 08:00,Hit and Run,1105,North Cambridge,"MASSACHUSETTS Avenue & REGENT STREET, Cambridge, MA"
2011-00520,1/24/2011 8:49,01/21/2011 12:00 - 01/24/2011 07:30,Mal. Dest. Property,707,Riverside,"0 Mount Auburn STREET, Cambridge, MA"
2011-00521,1/24/2011 8:52,01/24/2011 06:00 - 08:00,Hit and Run,1101,North Cambridge,"0 White STREET, Cambridge, MA"
2011-00522,1/24/2011 11:34,01/24/2011 11:30 - 11:34,Hit and Run,1113,North Cambridge,"2100 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00524,1/24/2011 13:09,01/24/2011 08:00 - 13:12,Housebreak,508,Cambridgeport,"200 ALLSTON STREET, Cambridge, MA"
2011-00525,1/24/2011 14:15,01/24/2011 10:00 - 11:00,Hit and Run,1015,West Cambridge,"COOLIDGE Avenue & Mount Auburn STREET, Cambridge, MA"
2011-00527,1/24/2011 16:33,01/24/2011 16:15 - 16:20,Housebreak,703,Riverside,"100 RIVER STREET, Cambridge, MA"
2011-00528,1/24/2011 17:11,11/25/2010 17:16 - 11/26/2010 17:16,Forgery,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-00531,1/24/2011 16:53,1/24/2011 16:53,Warrant Arrest,108,East Cambridge,"100 Sixth STREET, Cambridge, MA"
2011-00532,1/24/2011 17:31,1/24/2011 17:30,Threats,105,East Cambridge,"0 FIFTH STREET, Cambridge, MA"
2011-00533,1/24/2011 18:18,1/23/2011 12:00,Harassment,804,Agassiz,"0 WENDELL STREET, Cambridge, MA"
2011-00534,1/24/2011 19:44,1/24/2011 19:44,Domestic Dispute,304,Inman/Harrington,"100 BERKSHIRE STREET, Cambridge, MA"
2011-00535,1/24/2011 19:47,01/24/2011 18:00 - 19:45,Domestic Dispute,506,Cambridgeport,"0 LAWRENCE STREET, Cambridge, MA"
2011-00536,1/24/2011 20:45,01/23/2011 13:00 - 15:00,Larceny from Person,1005,West Cambridge,"0 WILLARD STREET, Cambridge, MA"
2011-00538,1/25/2011 0:05,01/10/2011 00:19 - 01/24/2011 00:19,Hit and Run,108,East Cambridge,"100 SIXTH STREET, Cambridge, MA"
2011-00539,1/24/2011 23:58,01/24/2011 09:30 - 20:00,Housebreak,501,Cambridgeport,"200 GREEN STREET, Cambridge, MA"
2011-00540,1/25/2011 0:14,01/25/2011 00:00 - 00:14,Larceny from Building,708,Riverside,"1200 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00542,1/25/2011 6:26,01/24/2011 09:00 - 01/25/2011 06:52,Larceny from Residence,1107,North Cambridge,"0 VAN NORDEN STREET, Cambridge, MA"
2011-00544,1/25/2011 7:33,01/25/2011 07:25 - 07:30,Hit and Run,1014,West Cambridge,"Mount Auburn STREET & ABERDEEN AVENUE, Cambridge, MA"
2011-00545,1/25/2011 8:11,1/25/2011 8:11,Domestic Dispute,1014,West Cambridge,"100 LEXINGTON Avenue, Cambridge, MA"
2011-00546,1/25/2011 8:55,01/25/2011 08:45 - 08:55,Domestic Dispute,1109,North Cambridge,"100 JACKSON CIRCLE, Cambridge, MA"
2011-00548,1/25/2011 10:00,01/17/2011 16:26 - 01/25/2011 02:10,Flim Flam,305,Inman/Harrington,"0 CARLISLE STREET, Cambridge, MA"
2011-00550,1/25/2011 10:59,1/25/2011 0:01,Simple Assault,506,Cambridgeport,"200 BROOKLINE STREET, Cambridge, MA"
2011-00551,1/25/2011 11:50,12/10/2010 14:35 - 12/11/2010 13:25,Forgery,411,Area 4,"600 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00552,1/25/2011 12:31,01/21/2011 16:00 - 17:00,Larceny from Building,103,East Cambridge,"0 CAMBRIDGE CENTER, Cambridge, MA"
2011-00553,1/25/2011 12:34,01/25/2011 12:15 - 12:30,Hit and Run,801,Agassiz,"100 KIRKLAND STREET, Cambridge, MA"
2011-00555,1/25/2011 13:36,1/25/2011 13:36,Warrant Arrest,408,Area 4,"MAIN STREET & WINDSOR STREET, Cambridge, MA"
2011-00556,1/25/2011 13:42,01/25/2011 13:30 - 13:45,Larceny from Building,1002,West Cambridge,"0 BRATTLE STREET, Cambridge, MA"
2011-00558,1/25/2011 17:27,01/23/2011 10:30 - 12:30,Larceny from Person,1101,North Cambridge,"2000 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00559,1/25/2011 15:05,01/23/2011 20:00 - 01/25/2011 13:05,Hit and Run,801,Agassiz,"100 OXFORD STREET, Cambridge, MA"
2011-00560,1/25/2011 15:26,01/21/2011 12:00 - 01/25/2011 15:26,Harassment,1111,North Cambridge,"2500 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00562,1/25/2011 17:10,01/25/2011 15:15 - 18:33,Missing Person,107,East Cambridge,"100 GORE STREET, Cambridge, MA"
2011-00563,1/25/2011 17:29,01/25/2011 09:00 - 17:25,Housebreak,1006,West Cambridge,"0 CRAIGIE STREET, Cambridge, MA"
2011-00565,1/25/2011 16:43,01/24/2011 17:00 - 01/25/2011 14:00,Larceny from Person,510,Cambridgeport,"0 Central SQUARE, Cambridge, MA"
2011-00566,1/25/2011 18:21,01/25/2011 09:30 - 18:00,Housebreak,702,Riverside,"0 PLEASANT STREET, Cambridge, MA"
2011-00567,1/25/2011 19:39,01/25/2011 13:00 - 19:15,Hit and Run,304,Inman/Harrington,"100 WILLOW STREET, Cambridge, MA"
2011-00570,1/25/2011 23:56,01/25/2011 09:30 - 18:00,Housebreak,702,Riverside,"0 PLEASANT STREET, Cambridge, MA"
2011-00573,1/26/2011 6:14,01/25/2011 16:10 - 01/26/2011 05:30,Larceny from MV,1303,Strawberry Hill,"100 THINGVALLA Avenue, Cambridge, MA"
2011-00576,1/26/2011 8:10,01/26/2011 08:00 - 08:10,Domestic Dispute,1006,West Cambridge,"100 CONCORD Avenue, Cambridge, MA"
2011-00578,1/26/2011 7:54,01/25/2011 07:15 - 07:30,Hit and Run,404,Area 4,"0 MARKET STREET, Cambridge, MA"
2011-00579,1/26/2011 9:17,1/26/2011 9:17,Hit and Run,506,Cambridgeport,"MAGAZINE STREET & WILLIAM STREET, Cambridge, MA"
2011-00580,1/26/2011 9:05,01/26/2011 08:25 - 08:40,Hit and Run,107,East Cambridge,"100 THIRD STREET, Cambridge, MA"
2011-00582,1/26/2011 10:50,1/26/2011 10:50,Hit and Run,1105,North Cambridge,"2000 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00583,1/26/2011 15:03,01/24/2011 23:00 - 01/26/2011 14:30,Hit and Run,704,Riverside,"PUTNAM Avenue & WESTERN AVENUE, Cambridge, MA"
2011-00584,1/26/2011 16:18,01/21/2011 20:53 - 22:59,Harassment,701,Riverside,"800 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00585,1/26/2011 16:02,01/25/2011 17:30 - 01/26/2011 07:30,Hit and Run,1106,North Cambridge,"0 ALBERTA TERRACE, Cambridge, MA"
2011-00586,1/26/2011 16:55,01/25/2011 11:00 - 01/26/2011 15:00,Hit and Run,702,Riverside,"100 KINNAIRD STREET, Cambridge, MA"
2011-00587,1/26/2011 17:06,1/26/2011 17:06,Domestic Dispute,301,Inman/Harrington,"900 CAMBRIDGE STREET, Cambridge, MA"
2011-00588,1/26/2011 16:29,01/25/2011 16:11 - 16:22,Larceny from Building,601,Mid-Cambridge,"700 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00589,1/26/2011 18:20,1/26/2011 18:20,Shoplifting,610,Mid-Cambridge,"300 BROADWAY, Cambridge, MA"
2011-00590,1/26/2011 18:23,01/26/2011 08:30 - 17:50,Housebreak,702,Riverside,"500 GREEN STREET, Cambridge, MA"
2011-00591,1/26/2011 18:48,01/26/2011 18:35 - 18:45,Domestic Dispute,603,Mid-Cambridge,"0 WEST STREET, Cambridge, MA"
2011-00592,1/26/2011 18:31,1/26/2011 18:30,Threats,508,Cambridgeport,"500 PUTNAM Avenue, Cambridge, MA"
2011-00593,1/26/2011 19:03,01/26/2011 19:00 - 19:10,Rec. Stol. Property,1111,North Cambridge,"CEDAR STREET & MASSACHUSETTS AVENUE, Cambridge, MA"
2011-00595,1/26/2011 21:03,01/26/2011 21:00 - 21:30,Warrant Arrest,411,Area 4,"600 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00597,1/27/2011 7:56,01/27/2011 00:05 - 07:55,Hit and Run,1303,Strawberry Hill,"100 LAWN STREET, Cambridge, MA"
2011-00599,1/27/2011 8:55,01/26/2011 23:00 - 01/27/2011 08:55,Hit and Run,301,Inman/Harrington,"0 WARREN STREET, Cambridge, MA"
2011-00601,1/27/2011 13:56,1/27/2011 20:30,Simple Assault,506,Cambridgeport,"200 ERIE STREET, Cambridge, MA"
2011-00602,1/27/2011 15:33,01/27/2011 04:20 - 04:30,Hit and Run,910,Peabody,"0 WALDEN SQUAREUARE ROAD , Cambridge, MA"
2011-00603,1/27/2011 15:27,01/26/2011 23:00 - 01/27/2011 07:00,Larceny from Building,708,Riverside,"100 WINTHROP STREET, Cambridge, MA"
2011-00604,1/27/2011 15:46,1/27/2011 14:45,Mal. Dest. Property,503,Cambridgeport,"PUTNAM Avenue & SIDNEY STREET, Cambridge, MA"
2011-00606,1/27/2011 16:23,01/27/2011 16:42 - 17:15,Simple Assault,106,East Cambridge,"700 CAMBRIDGE STREET, Cambridge, MA"
2011-00610,1/27/2011 19:58,1/27/2011 19:58,Aggravated Assault,1108,North Cambridge,"CLIFTON STREET & DUDLEY STREET, Cambridge, MA"
2011-00611,1/27/2011 20:16,1/27/2011 20:16,Drugs,1104,North Cambridge,"Alewife Brook Pky & MATIGNON ROAD , Cambridge, MA"
2011-00612,1/28/2011 0:28,1/28/2011 0:28,Domestic Dispute,304,Inman/Harrington,"100 WILLOW STREET, Cambridge, MA"
2011-00613,1/28/2011 5:51,01/28/2011 05:30 - 06:00,Warrant Arrest,502,Cambridgeport,"0 BROOKLINE PLACE, Cambridge, MA"
2011-00614,1/28/2011 6:13,01/28/2011 06:13 - 09:25,Warrant Arrest,108,East Cambridge,"100 Sixth STREET, Cambridge, MA"
2011-00615,1/28/2011 9:13,01/27/2011 20:00 - 01/28/2011 08:00,Larceny from MV,604,Mid-Cambridge,"400 BROADWAY, Cambridge, MA"
2011-00616,1/28/2011 9:49,01/20/2011 00:00 - 01/28/2011 09:49,Hit and Run,108,East Cambridge,"200 SIXTH STREET, Cambridge, MA"
2011-00618,1/28/2011 12:13,01/15/2011 13:20 - 13:30,Larceny from Building,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-00620,1/28/2011 14:10,1/28/2011 14:10,Warrant Arrest,501,Cambridgeport,"600 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00621,1/28/2011 15:05,01/28/2011 15:01 - 15:05,Larceny from Building,708,Riverside,"0 DUNSTER STREET, Cambridge, MA"
2011-00622,1/28/2011 14:58,1/28/2011 14:58,Forgery,601,Mid-Cambridge,"0 TEMPLE STREET, Cambridge, MA"
2011-00623,1/28/2011 15:22,01/28/2011 07:00 - 11:24,Larceny from Residence,509,Cambridgeport,"0 ROCKINGHAM STREET, Cambridge, MA"
2011-00624,1/28/2011 15:27,01/28/2011 15:20 - 15:25,Mal. Dest. Property,1002,West Cambridge,"1400 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00625,1/28/2011 13:11,12/20/2010 16:07 - 01/26/2011 16:08,Housebreak,602,Mid-Cambridge,"0 DANA STREET, Cambridge, MA"
2011-00626,1/28/2011 15:38,01/28/2011 11:30 - 15:30,Larceny from Residence,610,Mid-Cambridge,"0 STREET MARY ROAD , Cambridge, MA"
2011-00627,1/28/2011 16:28,01/28/2011 08:30 - 16:28,Hit and Run,1008,West Cambridge,"FOSTER STREET & LOWELL STREET, Cambridge, MA"
2011-00628,1/28/2011 16:08,01/01/2011 00:01 - 16:00,Mal. Dest. Property,403,Area 4,"100 HARVARD STREET, Cambridge, MA"
2011-00632,1/28/2011 17:22,01/28/2011 09:45 - 17:00,Housebreak,607,Mid-Cambridge,"0 ELLERY STREET, Cambridge, MA"
2011-00633,1/28/2011 18:44,01/28/2011 08:30 - 16:30,Housebreak,607,Mid-Cambridge,"0 ELLERY STREET, Cambridge, MA"
2011-00634,1/28/2011 19:10,01/25/2011 00:00 - 19:10,Flim Flam,408,Area 4,"300 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00635,1/28/2011 19:21,01/28/2011 17:00 - 17:30,Threats,803,Agassiz,"0 MELLEN STREET, Cambridge, MA"
2011-00636,1/28/2011 20:04,01/28/2011 07:30 - 13:30,Hit and Run,613,Mid-Cambridge,"LEONARD Avenue & Cambridge STREET, Cambridge, MA"
2011-00637,1/28/2011 18:06,01/28/2011 13:30 - 15:00,Larceny from Building,804,Agassiz,"1800 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00638,1/28/2011 20:31,1/28/2011 20:31,Warrant Arrest,501,Cambridgeport,"BROOKLINE STREET & MASSACHUSETTS AVENUE, Cambridge, MA"
2011-00639,1/28/2011 21:30,1/28/2011 21:30,Domestic Dispute,402,Area 4,"200 BROADWAY, Cambridge, MA"
2011-00642,1/29/2011 0:55,1/29/2011 0:55,Aggravated Assault,501,Cambridgeport,"300 GREEN STREET, Cambridge, MA"
2011-00643,1/29/2011 2:34,1/29/2011 2:34,Hit and Run,305,Inman/Harrington,"CAMBRIDGE STREET & COLUMBIA STREET, Cambridge, MA"
2011-00644,1/29/2011 6:12,1/29/2011 6:12,Street Robbery,701,Riverside,"800 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00646,1/29/2011 9:44,01/28/2011 18:00 - 23:00,Larceny from MV,607,Mid-Cambridge,"1200 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00647,1/29/2011 11:30,1/27/2011 19:00,Forgery,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2011-00648,1/29/2011 11:16,01/29/2011 11:00 - 11:15,Aggravated Assault,305,Inman/Harrington,"300 PROSPECT STREET, Cambridge, MA"
2011-00650,1/29/2011 12:34,01/29/2011 12:35 - 13:55,Domestic Dispute,302,Inman/Harrington,"400 PROSPECT STREET, Cambridge, MA"
2011-00651,1/29/2011 13:04,1/29/2011 13:17,Phone Calls,403,Area 4,"100 HARVARD STREET, Cambridge, MA"
2011-00653,1/29/2011 12:53,1/29/2011 13:40,Simple Assault,605,Mid-Cambridge,"1600 CAMBRIDGE STREET, Cambridge, MA"
2011-00654,1/29/2011 12:13,01/25/2011 08:00 - 01/27/2011 09:00,Larceny of Bicycle,1108,North Cambridge,"100 CLAY STREET, Cambridge, MA"
2011-00655,1/29/2011 14:11,01/29/2011 14:00 - 14:10,Shoplifting,504,Cambridgeport,"0 SIDNEY STREET, Cambridge, MA"
2011-00657,1/29/2011 12:15,01/28/2011 12:41 - 17:00,Housebreak,607,Mid-Cambridge,"0 ELLERY STREET, Cambridge, MA"
2011-00658,1/29/2011 14:54,01/29/2011 10:00 - 11:30,Larceny of Bicycle,1002,West Cambridge,"100 WINTHROP STREET, Cambridge, MA"
2011-00659,1/29/2011 14:24,01/29/2011 10:00 - 14:00,Housebreak,804,Agassiz,"0 GARFIELD STREET, Cambridge, MA"
2011-00660,1/29/2011 16:57,01/29/2011 13:30 - 15:33,Hit and Run,602,Mid-Cambridge,"1000 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00661,1/29/2011 16:58,01/29/2011 16:45 - 17:30,Trespassing,1002,West Cambridge,"1400 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00662,1/29/2011 17:26,01/28/2011 18:00 - 01/29/2011 17:00,Hit and Run,707,Riverside,"0 SURREY STREET, Cambridge, MA"
2011-00663,1/29/2011 18:17,01/29/2011 17:00 - 18:15,Larceny from Building,804,Agassiz,"1800 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00665,1/29/2011 18:52,01/28/2011 07:00 - 01/29/2011 19:27,Mal. Dest. Property,1103,North Cambridge,"0 Fair Oaks STREET, Cambridge, MA"
2011-00666,1/29/2011 19:06,1/29/2011 19:06,Domestic Dispute,706,Riverside,"200 WESTERN Avenue, Cambridge, MA"
2011-00667,1/29/2011 20:03,01/29/2011 09:45 - 20:30,Hit and Run,105,East Cambridge,"GORE STREET & SIXTH STREET, Cambridge, MA"
2011-00668,1/29/2011 21:17,01/02/2011 22:01 - 01/08/2011 22:01,Larceny from MV,411,Area 4,"0 NORFOLK STREET, Cambridge, MA"
2011-00669,1/29/2011 22:46,1/29/2011 22:46,Larceny of Services,305,Inman/Harrington,"300 PROSPECT STREET, Cambridge, MA"
2011-00671,1/30/2011 0:07,04/09/2009 12:00 - 07/15/2009 12:00,Forgery,108,East Cambridge,"100 SIXTH STREET, Cambridge, MA"
2011-00672,1/30/2011 0:08,01/29/2011 11:20 - 11:30,Aggravated Assault,705,Riverside,"GREEN STREET & PLEASANT STREET, Cambridge, MA"
2011-00673,1/30/2011 0:11,1/30/2011 0:29,Disorderly,305,Inman/Harrington,"200 ELM STREET, Cambridge, MA"
2011-00675,1/30/2011 9:04,01/29/2011 22:00 - 01/30/2011 09:00,Hit and Run,706,Riverside,"CALLENDER STREET & DODGE STREET, Cambridge, MA"
2011-00676,1/30/2011 9:48,01/30/2011 09:00 - 09:30,Hit and Run,403,Area 4,"BROADWAY & PORTLAND STREET, Cambridge, MA"
2011-00677,1/30/2011 11:51,01/30/2011 11:51 - 12:37,Violation of R.O.,507,Cambridgeport,"0 LAUREL STREET, Cambridge, MA"
2011-00678,1/30/2011 13:08,1/30/2011 13:08,Domestic Dispute,411,Area 4,"MASSACHUSETTS Avenue & Massachusetts AVENUE, Cambridge, MA"
2011-00679,1/30/2011 13:17,01/29/2011 00:01 - 00:30,Aggravated Assault,408,Area 4,"300 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00680,1/30/2011 13:04,01/01/2007 12:00 - 01/30/2009 12:00,Forgery,1108,North Cambridge,"0 CLIFTON STREET, Cambridge, MA"
2011-00681,1/30/2011 14:14,01/28/2011 16:30 - 23:30,Hit and Run,707,Riverside,"GREEN STREET & PUTNAM AVENUE, Cambridge, MA"
2011-00682,1/30/2011 13:36,01/30/2011 00:00 - 01:30,Larceny from Building,707,Riverside,"0 HOLYOKE STREET, Cambridge, MA"
2011-00685,1/30/2011 16:46,01/26/2011 13:13 - 01/28/2011 12:00,Forgery,601,Mid-Cambridge,"700 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00686,1/30/2011 16:45,1/30/2011 16:45,Simple Assault,702,Riverside,"900 MASSACHUSETTS Avenue, Cambridge, MA"
2011-00687,1/30/2011 18:22,01/30/2011 11:25 - 13:25,Hit and Run,1113,North Cambridge,"1600 Massachusetts Avenue, Cambridge, MA"
2011-00689,1/30/2011 19:45,01/30/2011 19:35 - 19:40,Housebreak,405,Area 4,"0 PINE STREET, Cambridge, MA"
2011-00691,1/30/2011 19:49,01/27/2011 14:00 - 01/30/2011 19:49,Missing Person,506,Cambridgeport,"0 LOPEZ STREET, Cambridge, MA"
2011-00692,1/30/2011 21:24,01/21/2011 16:44 - 01/30/2011 20:44,Housebreak,903,Peabody,"0 MARTIN STREET, Cambridge, MA"
2011-00693,1/29/2011 7:23,11/01/2010 07:23 - 01/29/2011 07:23,Forgery,302,Inman/Harrington,"200 TREMONT STREET, Cambridge, MA"
